Store,date,Sales
105,2013-01-14,2236
10,2013-01-14,4685
57,2013-01-14,9056
50,2013-01-14,3070
49,2013-01-14,4753
1115,2013-01-14,3158
1086,2013-01-14,7444
85,2013-01-15,5580
71,2013-01-15,5424
102,2013-01-15,4418
105,2013-01-15,2076
10,2013-01-15,4470
57,2013-01-15,9056
50,2013-01-15,2313
49,2013-01-15,5075
1115,2013-01-15,3528
1086,2013-01-15,7076
85,2013-01-16,5025
71,2013-01-16,5825
102,2013-01-16,4752
105,2013-01-16,1708
10,2013-01-16,4640
57,2013-01-16,8581
50,2013-01-16,2249
49,2013-01-16,2580
1115,2013-01-16,3064
1086,2013-01-16,6176
71,2013-01-17,7260
85,2013-01-17,4973
102,2013-01-17,5207
105,2013-01-17,1556
10,2013-01-17,4460
57,2013-01-17,8517
50,2013-01-17,2711
49,2013-01-17,4049
1115,2013-01-17,3039
1086,2013-01-17,6282
85,2013-01-18,5579
71,2013-01-18,7048
102,2013-01-18,5084
105,2013-01-18,1919
10,2013-01-18,4962
57,2013-01-18,9150
50,2013-01-18,3706
49,2013-01-18,5555
1086,2013-01-18,7168
1115,2013-01-18,4287
85,2013-01-19,5440
71,2013-01-19,6755
102,2013-01-19,6221
105,2013-01-19,1333
10,2013-01-19,4441
57,2013-01-19,7416
50,2013-01-19,4037
49,2013-01-19,6873
1115,2013-01-19,5207
1086,2013-01-19,6023
102,2013-01-20,0
85,2013-01-20,11390
71,2013-01-20,0
105,2013-01-20,0
10,2013-01-20,0
57,2013-01-20,0
49,2013-01-20,0
50,2013-01-20,0
1086,2013-01-20,0
1115,2013-01-20,0
71,2013-01-21,7739
85,2013-01-21,8065
102,2013-01-21,9711
105,2013-01-21,2328
10,2013-01-21,6178
57,2013-01-21,15404
50,2013-01-21,3653
49,2013-01-21,8862
1086,2013-01-21,9087
1115,2013-01-21,3723
85,2013-01-22,6767
71,2013-01-22,9681
102,2013-01-22,9642
105,2013-01-22,2191
10,2013-01-22,5215
57,2013-01-22,13106
50,2013-01-22,4127
49,2013-01-22,7243
1086,2013-01-22,12292
1115,2013-01-22,5388
71,2013-01-23,10047
85,2013-01-23,7495
102,2013-01-23,7979
105,2013-01-23,2238
10,2013-01-23,5218
57,2013-01-23,11396
50,2013-01-23,4764
49,2013-01-23,6649
1115,2013-01-23,5176
1086,2013-01-23,11235
85,2013-01-24,6768
71,2013-01-24,8896
102,2013-01-24,7924
105,2013-01-24,2206
10,2013-01-24,4736
57,2013-01-24,11434
50,2013-01-24,4946
49,2013-01-24,6415
1086,2013-01-24,11257
1115,2013-01-24,5650
85,2013-01-25,6672
71,2013-01-25,10488
102,2013-01-25,7653
105,2013-01-25,2114
10,2013-01-25,5404
57,2013-01-25,11444
50,2013-01-25,4652
49,2013-01-25,6886
1086,2013-01-25,10967
1115,2013-01-25,5082
85,2013-01-26,6010
71,2013-01-26,6441
102,2013-01-26,6477
105,2013-01-26,1200
10,2013-01-26,4789
57,2013-01-26,7329
50,2013-01-26,3640
49,2013-01-26,6013
1115,2013-01-26,4896
1086,2013-01-26,5914
85,2013-01-27,7522
71,2013-01-27,0
102,2013-01-27,0
105,2013-01-27,0
10,2013-01-27,0
57,2013-01-27,0
50,2013-01-27,0
49,2013-01-27,0
1115,2013-01-27,0
1086,2013-01-27,0
85,2013-01-28,5284
71,2013-01-28,7354
102,2013-01-28,5265
105,2013-01-28,2149
10,2013-01-28,4489
57,2013-01-28,8867
50,2013-01-28,2880
49,2013-01-28,4382
1115,2013-01-28,3615
1086,2013-01-28,6478
85,2013-01-29,5100
71,2013-01-29,6562
102,2013-01-29,5117
105,2013-01-29,2042
10,2013-01-29,4374
57,2013-01-29,8465
50,2013-01-29,2457
49,2013-01-29,4320
1115,2013-01-29,3397
1086,2013-01-29,7943
85,2013-01-30,5050
71,2013-01-30,6586
102,2013-01-30,5999
105,2013-01-30,1951
10,2013-01-30,3986
57,2013-01-30,8555
50,2013-01-30,3053
49,2013-01-30,4631
1115,2013-01-30,3813
1086,2013-01-30,8128
71,2013-01-31,7404
85,2013-01-31,6358
102,2013-01-31,9101
105,2013-01-31,2041
10,2013-01-31,4867
57,2013-01-31,11100
50,2013-01-31,3713
49,2013-01-31,5093
1115,2013-01-31,4711
1086,2013-01-31,10636
85,2013-02-01,5967
71,2013-02-01,8772
102,2013-02-01,7553
105,2013-02-01,2013
10,2013-02-01,4470
57,2013-02-01,11020
50,2013-02-01,3817
49,2013-02-01,6448
1086,2013-02-01,8436
1115,2013-02-01,4584
85,2013-02-02,6180
71,2013-02-02,7167
102,2013-02-02,9104
105,2013-02-02,1596
10,2013-02-02,4357
57,2013-02-02,8250
50,2013-02-02,4286
49,2013-02-02,8167
1115,2013-02-02,5411
1086,2013-02-02,6292
85,2013-02-03,13302
71,2013-02-03,0
102,2013-02-03,0
105,2013-02-03,0
10,2013-02-03,0
57,2013-02-03,0
50,2013-02-03,0
49,2013-02-03,0
1115,2013-02-03,0
1086,2013-02-03,0
85,2013-02-04,8018
71,2013-02-04,12747
102,2013-02-04,11253
105,2013-02-04,2209
10,2013-02-04,7617
57,2013-02-04,17725
50,2013-02-04,5757
49,2013-02-04,8520
1115,2013-02-04,6670
1086,2013-02-04,14740
85,2013-02-05,7305
71,2013-02-05,10872
102,2013-02-05,8767
105,2013-02-05,2201
10,2013-02-05,5423
57,2013-02-05,14991
50,2013-02-05,5084
49,2013-02-05,6818
1115,2013-02-05,6126
1086,2013-02-05,12262
102,2013-02-06,6538
85,2013-02-06,7125
105,2013-02-06,1967
71,2013-02-06,9794
10,2013-02-06,5539
57,2013-02-06,11648
49,2013-02-06,6998
50,2013-02-06,4343
1115,2013-02-06,4810
1086,2013-02-06,11275
85,2013-02-07,6621
71,2013-02-07,9442
102,2013-02-07,8756
105,2013-02-07,2096
10,2013-02-07,5838
57,2013-02-07,12631
50,2013-02-07,4381
49,2013-02-07,5788
1086,2013-02-07,10591
1115,2013-02-07,5504
85,2013-02-08,6251
71,2013-02-08,9818
102,2013-02-08,7483
105,2013-02-08,2063
10,2013-02-08,5655
57,2013-02-08,11218
50,2013-02-08,4576
49,2013-02-08,6903
1086,2013-02-08,9102
1115,2013-02-08,5652
85,2013-02-09,5802
71,2013-02-09,7258
102,2013-02-09,5805
105,2013-02-09,1262
10,2013-02-09,4477
57,2013-02-09,7989
50,2013-02-09,3659
49,2013-02-09,6734
1115,2013-02-09,5788
1086,2013-02-09,7111
85,2013-02-10,11899
71,2013-02-10,0
102,2013-02-10,0
105,2013-02-10,0
10,2013-02-10,0
57,2013-02-10,0
50,2013-02-10,0
49,2013-02-10,0
1115,2013-02-10,0
1086,2013-02-10,0
85,2013-02-11,5376
71,2013-02-11,7350
102,2013-02-11,3259
105,2013-02-11,1870
10,2013-02-11,4433
57,2013-02-11,8617
50,2013-02-11,2846
49,2013-02-11,4961
1115,2013-02-11,3485
1086,2013-02-11,8063
85,2013-02-12,5073
71,2013-02-12,6996
102,2013-02-12,5471
105,2013-02-12,1614
10,2013-02-12,4506
57,2013-02-12,8507
50,2013-02-12,2740
49,2013-02-12,4944
1115,2013-02-12,3039
1086,2013-02-12,7598
102,2013-02-13,4954
85,2013-02-13,5121
71,2013-02-13,7287
105,2013-02-13,2032
10,2013-02-13,4953
57,2013-02-13,8741
49,2013-02-13,5418
50,2013-02-13,2729
1115,2013-02-13,3962
1086,2013-02-13,8174
71,2013-02-14,7074
85,2013-02-14,5417
102,2013-02-14,5490
105,2013-02-14,1791
10,2013-02-14,4111
57,2013-02-14,9611
50,2013-02-14,3101
49,2013-02-14,5329
1115,2013-02-14,3786
1086,2013-02-14,9015
85,2013-02-15,5494
71,2013-02-15,6626
102,2013-02-15,4648
105,2013-02-15,1785
10,2013-02-15,4385
57,2013-02-15,9270
50,2013-02-15,3238
49,2013-02-15,5553
1086,2013-02-15,7358
1115,2013-02-15,4056
85,2013-02-16,5275
71,2013-02-16,6661
102,2013-02-16,5364
105,2013-02-16,1515
10,2013-02-16,4340
57,2013-02-16,7599
50,2013-02-16,4188
49,2013-02-16,6915
1115,2013-02-16,5361
1086,2013-02-16,6646
102,2013-02-17,0
85,2013-02-17,11931
71,2013-02-17,0
105,2013-02-17,0
10,2013-02-17,0
57,2013-02-17,0
49,2013-02-17,0
50,2013-02-17,0
1086,2013-02-17,0
1115,2013-02-17,0
71,2013-02-18,13423
85,2013-02-18,8467
102,2013-02-18,11545
105,2013-02-18,2367
10,2013-02-18,7495
57,2013-02-18,18284
50,2013-02-18,6121
49,2013-02-18,8689
1086,2013-02-18,15036
1115,2013-02-18,7580
85,2013-02-19,7169
71,2013-02-19,9623
102,2013-02-19,8196
105,2013-02-19,2157
10,2013-02-19,6049
57,2013-02-19,10899
50,2013-02-19,4768
49,2013-02-19,6272
1086,2013-02-19,11438
1115,2013-02-19,4882
85,2013-02-20,7162
71,2013-02-20,9988
102,2013-02-20,7470
105,2013-02-20,2107
10,2013-02-20,5200
57,2013-02-20,11932
50,2013-02-20,3908
49,2013-02-20,6418
1115,2013-02-20,6169
1086,2013-02-20,11435
85,2013-02-21,6870
71,2013-02-21,8561
102,2013-02-21,7080
105,2013-02-21,1853
10,2013-02-21,5969
57,2013-02-21,12007
50,2013-02-21,4492
49,2013-02-21,6028
1086,2013-02-21,12219
1115,2013-02-21,5650
85,2013-02-22,7092
71,2013-02-22,7626
102,2013-02-22,6987
105,2013-02-22,2211
10,2013-02-22,5285
57,2013-02-22,10649
50,2013-02-22,4460
49,2013-02-22,7072
1115,2013-02-22,6986
1086,2013-02-22,9983
85,2013-02-23,5349
71,2013-02-23,4286
102,2013-02-23,4606
105,2013-02-23,1472
10,2013-02-23,4534
57,2013-02-23,5787
50,2013-02-23,3639
49,2013-02-23,5951
1115,2013-02-23,5948
1086,2013-02-23,5278
85,2013-02-24,10245
71,2013-02-24,0
102,2013-02-24,0
105,2013-02-24,0
10,2013-02-24,0
57,2013-02-24,0
50,2013-02-24,0
49,2013-02-24,0
1115,2013-02-24,0
1086,2013-02-24,0
85,2013-02-25,5187
71,2013-02-25,5819
102,2013-02-25,4101
105,2013-02-25,1969
10,2013-02-25,4822
57,2013-02-25,7985
50,2013-02-25,2419
49,2013-02-25,4168
1115,2013-02-25,3588
1086,2013-02-25,6330
85,2013-02-26,4786
71,2013-02-26,7870
102,2013-02-26,4708
105,2013-02-26,1908
10,2013-02-26,4403
57,2013-02-26,8730
50,2013-02-26,2542
49,2013-02-26,4563
1115,2013-02-26,4236
1086,2013-02-26,6812
71,2013-02-27,8166
85,2013-02-27,5374
102,2013-02-27,5268
105,2013-02-27,2213
10,2013-02-27,4414
57,2013-02-27,8727
50,2013-02-27,2871
49,2013-02-27,4747
1115,2013-02-27,4367
1086,2013-02-27,6290
71,2013-02-28,9022
85,2013-02-28,5970
102,2013-02-28,8274
105,2013-02-28,2237
10,2013-02-28,4681
57,2013-02-28,10564
50,2013-02-28,3627
49,2013-02-28,5888
1115,2013-02-28,5474
1086,2013-02-28,9049
85,2013-03-01,6052
71,2013-03-01,8528
102,2013-03-01,6836
105,2013-03-01,2279
10,2013-03-01,4775
57,2013-03-01,10483
50,2013-03-01,3880
49,2013-03-01,6178
1115,2013-03-01,5077
1086,2013-03-01,8847
102,2013-03-02,8070
85,2013-03-02,6374
105,2013-03-02,1540
71,2013-03-02,7462
10,2013-03-02,4620
57,2013-03-02,9178
49,2013-03-02,7175
50,2013-03-02,4652
1115,2013-03-02,6027
1086,2013-03-02,7317
85,2013-03-03,13081
71,2013-03-03,0
102,2013-03-03,0
105,2013-03-03,0
10,2013-03-03,0
57,2013-03-03,0
50,2013-03-03,0
49,2013-03-03,0
1115,2013-03-03,0
1086,2013-03-03,0
71,2013-03-04,14694
85,2013-03-04,8860
102,2013-03-04,12239
105,2013-03-04,2404
10,2013-03-04,7280
57,2013-03-04,19086
50,2013-03-04,6430
49,2013-03-04,8306
1115,2013-03-04,7150
1086,2013-03-04,16689
85,2013-03-05,7592
71,2013-03-05,11109
102,2013-03-05,8269
105,2013-03-05,1876
10,2013-03-05,7003
57,2013-03-05,15067
50,2013-03-05,4334
49,2013-03-05,7118
1115,2013-03-05,6442
1086,2013-03-05,14148
85,2013-03-06,7161
71,2013-03-06,9465
102,2013-03-06,7829
105,2013-03-06,1971
10,2013-03-06,5115
57,2013-03-06,12790
50,2013-03-06,5059
49,2013-03-06,6945
1086,2013-03-06,10872
1115,2013-03-06,5654
85,2013-03-07,6910
71,2013-03-07,8900
102,2013-03-07,6762
105,2013-03-07,1926
10,2013-03-07,5460
57,2013-03-07,12631
50,2013-03-07,4358
49,2013-03-07,5631
1115,2013-03-07,5716
1086,2013-03-07,11943
85,2013-03-08,6426
71,2013-03-08,11102
102,2013-03-08,6746
105,2013-03-08,2039
10,2013-03-08,5350
57,2013-03-08,12221
50,2013-03-08,4425
49,2013-03-08,7009
1115,2013-03-08,5626
1086,2013-03-08,11062
85,2013-03-09,5099
71,2013-03-09,6301
102,2013-03-09,4730
105,2013-03-09,1533
10,2013-03-09,4213
57,2013-03-09,8054
50,2013-03-09,4174
49,2013-03-09,6246
1115,2013-03-09,5444
1086,2013-03-09,7351
85,2013-03-10,10462
71,2013-03-10,0
102,2013-03-10,0
105,2013-03-10,0
10,2013-03-10,0
57,2013-03-10,0
50,2013-03-10,0
49,2013-03-10,0
1115,2013-03-10,0
1086,2013-03-10,0
85,2013-03-11,5518
71,2013-03-11,6527
102,2013-03-11,4104
105,2013-03-11,1887
10,2013-03-11,5401
57,2013-03-11,9579
50,2013-03-11,2770
49,2013-03-11,6369
1115,2013-03-11,5503
1086,2013-03-11,6388
85,2013-03-12,5326
71,2013-03-12,5724
102,2013-03-12,3531
105,2013-03-12,1652
10,2013-03-12,4807
57,2013-03-12,7970
50,2013-03-12,1174
49,2013-03-12,5637
1115,2013-03-12,2093
1086,2013-03-12,4261
85,2013-03-13,4816
71,2013-03-13,6701
102,2013-03-13,4096
105,2013-03-13,1924
10,2013-03-13,4609
57,2013-03-13,7919
50,2013-03-13,2785
49,2013-03-13,5837
1086,2013-03-13,6427
1115,2013-03-13,4790
85,2013-03-14,5073
71,2013-03-14,6650
102,2013-03-14,4154
105,2013-03-14,2100
10,2013-03-14,4914
57,2013-03-14,9767
50,2013-03-14,2991
49,2013-03-14,6099
1115,2013-03-14,4828
1086,2013-03-14,7559
85,2013-03-15,5869
71,2013-03-15,7821
102,2013-03-15,4679
105,2013-03-15,2069
10,2013-03-15,5135
57,2013-03-15,10993
50,2013-03-15,3964
49,2013-03-15,5822
1115,2013-03-15,5566
1086,2013-03-15,8474
102,2013-03-16,5483
85,2013-03-16,5641
105,2013-03-16,1406
71,2013-03-16,6740
10,2013-03-16,3885
57,2013-03-16,9066
49,2013-03-16,7724
50,2013-03-16,4820
1115,2013-03-16,7250
1086,2013-03-16,6501
85,2013-03-17,12923
71,2013-03-17,0
102,2013-03-17,0
105,2013-03-17,0
10,2013-03-17,0
57,2013-03-17,0
50,2013-03-17,0
49,2013-03-17,0
1115,2013-03-17,0
1086,2013-03-17,0
71,2013-03-18,14168
85,2013-03-18,8473
102,2013-03-18,11013
105,2013-03-18,2388
10,2013-03-18,6766
57,2013-03-18,15124
50,2013-03-18,6603
49,2013-03-18,9494
1115,2013-03-18,7376
1086,2013-03-18,14151
85,2013-03-19,6945
71,2013-03-19,10449
102,2013-03-19,8173
105,2013-03-19,2159
10,2013-03-19,5584
57,2013-03-19,12225
50,2013-03-19,3946
49,2013-03-19,7658
1115,2013-03-19,5732
1086,2013-03-19,13491
85,2013-03-20,6704
71,2013-03-20,8840
102,2013-03-20,5752
105,2013-03-20,2155
10,2013-03-20,3927
57,2013-03-20,13267
50,2013-03-20,4486
49,2013-03-20,7207
1086,2013-03-20,10645
1115,2013-03-20,5459
85,2013-03-21,6341
71,2013-03-21,9623
102,2013-03-21,7418
105,2013-03-21,2149
10,2013-03-21,4623
57,2013-03-21,12585
50,2013-03-21,4239
49,2013-03-21,6832
1115,2013-03-21,6066
1086,2013-03-21,10277
85,2013-03-22,6623
71,2013-03-22,10320
102,2013-03-22,6753
105,2013-03-22,1788
10,2013-03-22,5158
57,2013-03-22,12457
50,2013-03-22,4507
49,2013-03-22,7409
1115,2013-03-22,6104
1086,2013-03-22,10800
102,2013-03-23,4640
85,2013-03-23,5759
105,2013-03-23,1414
71,2013-03-23,6613
10,2013-03-23,4285
57,2013-03-23,8744
49,2013-03-23,6643
50,2013-03-23,4383
1115,2013-03-23,6300
1086,2013-03-23,6836
85,2013-03-24,11431
71,2013-03-24,0
102,2013-03-24,0
105,2013-03-24,0
10,2013-03-24,0
57,2013-03-24,0
50,2013-03-24,0
49,2013-03-24,0
1115,2013-03-24,0
1086,2013-03-24,0
85,2013-03-25,8338
71,2013-03-25,11642
102,2013-03-25,9504
105,2013-03-25,2021
10,2013-03-25,6513
57,2013-03-25,17712
50,2013-03-25,5635
49,2013-03-25,10543
1115,2013-03-25,7759
1086,2013-03-25,16267
85,2013-03-26,7629
71,2013-03-26,10026
102,2013-03-26,8552
105,2013-03-26,1931
10,2013-03-26,5495
57,2013-03-26,15521
50,2013-03-26,5260
49,2013-03-26,8581
1115,2013-03-26,6864
1086,2013-03-26,13667
71,2013-03-27,10969
85,2013-03-27,7561
102,2013-03-27,8605
105,2013-03-27,2261
10,2013-03-27,5639
57,2013-03-27,16779
50,2013-03-27,5178
49,2013-03-27,9376
1115,2013-03-27,8120
1086,2013-03-27,13277
85,2013-03-28,9112
71,2013-03-28,12410
102,2013-03-28,11606
105,2013-03-28,2287
10,2013-03-28,7243
57,2013-03-28,18565
50,2013-03-28,5737
49,2013-03-28,12058
1086,2013-03-28,13799
1115,2013-03-28,8655
85,2013-03-29,13583
71,2013-03-29,0
102,2013-03-29,0
105,2013-03-29,0
10,2013-03-29,0
57,2013-03-29,0
50,2013-03-29,0
49,2013-03-29,0
1086,2013-03-29,0
1115,2013-03-29,0
85,2013-03-30,6928
71,2013-03-30,9750
102,2013-03-30,9277
105,2013-03-30,1250
10,2013-03-30,5809
57,2013-03-30,13559
50,2013-03-30,6032
49,2013-03-30,11384
1115,2013-03-30,9432
1086,2013-03-30,10346
85,2013-03-31,8929
71,2013-03-31,0
102,2013-03-31,0
105,2013-03-31,0
10,2013-03-31,0
57,2013-03-31,0
50,2013-03-31,0
49,2013-03-31,0
1115,2013-03-31,0
1086,2013-03-31,0
85,2013-04-01,12129
71,2013-04-01,0
102,2013-04-01,0
105,2013-04-01,0
10,2013-04-01,0
57,2013-04-01,0
50,2013-04-01,0
49,2013-04-01,0
1115,2013-04-01,0
1086,2013-04-01,0
85,2013-04-02,6012
71,2013-04-02,7691
102,2013-04-02,6767
105,2013-04-02,0
10,2013-04-02,5747
57,2013-04-02,10794
50,2013-04-02,3814
49,2013-04-02,6155
1115,2013-04-02,4436
1086,2013-04-02,10259
85,2013-04-03,5590
71,2013-04-03,8170
102,2013-04-03,5622
105,2013-04-03,0
10,2013-04-03,4662
57,2013-04-03,9210
50,2013-04-03,3627
49,2013-04-03,5379
1086,2013-04-03,7847
1115,2013-04-03,4461
85,2013-04-04,5364
71,2013-04-04,7059
102,2013-04-04,5541
105,2013-04-04,0
10,2013-04-04,4531
57,2013-04-04,10546
50,2013-04-04,3536
49,2013-04-04,4832
1086,2013-04-04,8936
1115,2013-04-04,4082
85,2013-04-05,5486
71,2013-04-05,8406
102,2013-04-05,5232
105,2013-04-05,0
10,2013-04-05,4529
57,2013-04-05,10009
50,2013-04-05,3690
49,2013-04-05,6091
1115,2013-04-05,4471
1086,2013-04-05,8080
85,2013-04-06,5218
71,2013-04-06,6147
102,2013-04-06,4823
105,2013-04-06,0
10,2013-04-06,4607
57,2013-04-06,7665
50,2013-04-06,4497
49,2013-04-06,6640
1115,2013-04-06,5414
1086,2013-04-06,6642
85,2013-04-07,10308
71,2013-04-07,0
102,2013-04-07,0
105,2013-04-07,0
10,2013-04-07,0
57,2013-04-07,0
50,2013-04-07,0
49,2013-04-07,0
1115,2013-04-07,0
1086,2013-04-07,0
85,2013-04-08,8193
71,2013-04-08,12620
102,2013-04-08,10503
105,2013-04-08,0
10,2013-04-08,7087
57,2013-04-08,16233
50,2013-04-08,5704
49,2013-04-08,8714
1115,2013-04-08,6132
1086,2013-04-08,12995
85,2013-04-09,6994
71,2013-04-09,10376
102,2013-04-09,8197
105,2013-04-09,0
10,2013-04-09,5782
57,2013-04-09,13098
50,2013-04-09,3998
49,2013-04-09,7234
1115,2013-04-09,6019
1086,2013-04-09,11494
102,2013-04-10,6957
85,2013-04-10,6555
105,2013-04-10,0
71,2013-04-10,8976
10,2013-04-10,5541
57,2013-04-10,11538
49,2013-04-10,6694
50,2013-04-10,4451
1086,2013-04-10,11033
1115,2013-04-10,5512
71,2013-04-11,8988
85,2013-04-11,6295
102,2013-04-11,6496
105,2013-04-11,0
10,2013-04-11,4689
57,2013-04-11,11283
50,2013-04-11,3771
49,2013-04-11,6467
1115,2013-04-11,4817
1086,2013-04-11,10900
85,2013-04-12,7203
71,2013-04-12,9692
102,2013-04-12,6688
105,2013-04-12,0
10,2013-04-12,6096
57,2013-04-12,11280
50,2013-04-12,4894
49,2013-04-12,7403
1115,2013-04-12,5806
1086,2013-04-12,10547
102,2013-04-13,4655
85,2013-04-13,5347
105,2013-04-13,0
71,2013-04-13,6072
10,2013-04-13,4321
57,2013-04-13,6881
49,2013-04-13,6423
50,2013-04-13,4297
1115,2013-04-13,5007
1086,2013-04-13,5984
85,2013-04-14,10214
71,2013-04-14,0
102,2013-04-14,0
105,2013-04-14,0
10,2013-04-14,0
57,2013-04-14,0
50,2013-04-14,0
49,2013-04-14,0
1115,2013-04-14,0
1086,2013-04-14,0
85,2013-04-15,5492
71,2013-04-15,6581
102,2013-04-15,4358
105,2013-04-15,0
10,2013-04-15,4558
57,2013-04-15,7773
50,2013-04-15,2438
49,2013-04-15,4895
1115,2013-04-15,3436
1086,2013-04-15,7479
85,2013-04-16,5075
71,2013-04-16,6969
102,2013-04-16,4316
105,2013-04-16,0
10,2013-04-16,4592
57,2013-04-16,8167
50,2013-04-16,2678
49,2013-04-16,4392
1115,2013-04-16,3286
1086,2013-04-16,6883
102,2013-04-17,4475
85,2013-04-17,5223
105,2013-04-17,0
71,2013-04-17,5925
10,2013-04-17,4426
57,2013-04-17,8028
49,2013-04-17,4975
50,2013-04-17,2493
1115,2013-04-17,3595
1086,2013-04-17,6689
85,2013-04-18,4782
71,2013-04-18,6318
102,2013-04-18,4392
105,2013-04-18,0
10,2013-04-18,4184
57,2013-04-18,8025
50,2013-04-18,2825
49,2013-04-18,4983
1086,2013-04-18,7329
1115,2013-04-18,3771
85,2013-04-19,5422
71,2013-04-19,7105
102,2013-04-19,4432
105,2013-04-19,0
10,2013-04-19,4743
57,2013-04-19,10313
50,2013-04-19,3818
49,2013-04-19,5459
1086,2013-04-19,8265
1115,2013-04-19,4320
85,2013-04-20,5313
71,2013-04-20,5871
102,2013-04-20,5308
105,2013-04-20,0
10,2013-04-20,4092
57,2013-04-20,7451
50,2013-04-20,4234
49,2013-04-20,6221
1115,2013-04-20,5908
1086,2013-04-20,6926
102,2013-04-21,0
85,2013-04-21,11263
71,2013-04-21,0
105,2013-04-21,0
10,2013-04-21,0
57,2013-04-21,0
49,2013-04-21,0
50,2013-04-21,0
1115,2013-04-21,0
1086,2013-04-21,0
85,2013-04-22,8722
71,2013-04-22,11560
102,2013-04-22,9352
105,2013-04-22,0
10,2013-04-22,7365
57,2013-04-22,16394
50,2013-04-22,4708
49,2013-04-22,7728
1086,2013-04-22,12685
1115,2013-04-22,6362
102,2013-04-23,7006
85,2013-04-23,6862
71,2013-04-23,10706
105,2013-04-23,0
10,2013-04-23,5343
57,2013-04-23,12779
49,2013-04-23,5751
50,2013-04-23,4159
1115,2013-04-23,5249
1086,2013-04-23,12570
85,2013-04-24,6841
71,2013-04-24,7697
102,2013-04-24,5967
105,2013-04-24,0
10,2013-04-24,5184
57,2013-04-24,11125
50,2013-04-24,3758
49,2013-04-24,5654
1115,2013-04-24,4346
1086,2013-04-24,9451
71,2013-04-25,7320
85,2013-04-25,7082
102,2013-04-25,5545
105,2013-04-25,0
10,2013-04-25,5291
57,2013-04-25,11038
50,2013-04-25,3934
49,2013-04-25,5912
1086,2013-04-25,10602
1115,2013-04-25,4161
85,2013-04-26,6431
71,2013-04-26,8846
102,2013-04-26,5919
105,2013-04-26,0
10,2013-04-26,4844
57,2013-04-26,11608
50,2013-04-26,4491
49,2013-04-26,7097
1086,2013-04-26,9912
1115,2013-04-26,5688
85,2013-04-27,4875
