Store,date,Sales,Open,Promo,Promo2,SchoolHoliday,CompetitionDistance,CompetitionActive,StateHoliday,StoreType,Assortment,PromoInterval
57,2013-01-06,0,0,0,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-06,0,0,0,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-06,0,0,0,0,0,16160.0,0,a,d,c,No_Promo2
1086,2013-01-06,0,0,0,1,1,180.0,0,0,a,a,"Feb,May,Aug,Nov"
1115,2013-01-06,0,0,0,1,1,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
85,2013-01-07,8990,1,1,0,0,1870.0,0,0,b,a,No_Promo2
71,2013-01-07,13634,1,1,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-07,11789,1,1,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-07,2714,1,1,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-07,7804,1,1,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-07,19314,1,1,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-07,6298,1,1,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-07,8731,1,1,0,0,16160.0,0,0,d,c,No_Promo2
1086,2013-01-07,16229,1,1,1,1,180.0,0,0,a,a,"Feb,May,Aug,Nov"
1115,2013-01-07,6905,1,1,1,1,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
85,2013-01-08,7300,1,1,0,0,1870.0,0,0,b,a,No_Promo2
71,2013-01-08,10289,1,1,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-08,9863,1,1,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-08,2085,1,1,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-08,5394,1,1,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-08,14203,1,1,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-08,4734,1,1,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-08,7290,1,1,0,0,16160.0,0,0,d,c,No_Promo2
1115,2013-01-08,5243,1,1,1,1,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
1086,2013-01-08,13425,1,1,1,1,180.0,0,0,a,a,"Feb,May,Aug,Nov"
85,2013-01-09,6523,1,1,0,0,1870.0,0,0,b,a,No_Promo2
71,2013-01-09,9952,1,1,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-09,7407,1,1,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-09,1944,1,1,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-09,5696,1,1,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-09,11842,1,1,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-09,3615,1,1,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-09,6532,1,1,0,0,16160.0,0,0,d,c,No_Promo2
1115,2013-01-09,4649,1,1,1,1,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
1086,2013-01-09,11046,1,1,1,1,180.0,0,0,a,a,"Feb,May,Aug,Nov"
85,2013-01-10,7434,1,1,0,0,1870.0,0,0,b,a,No_Promo2
71,2013-01-10,9819,1,1,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-10,8698,1,1,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-10,2046,1,1,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-10,5419,1,1,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-10,12947,1,1,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-10,4176,1,1,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-10,6399,1,1,0,0,16160.0,0,0,d,c,No_Promo2
1086,2013-01-10,11748,1,1,1,1,180.0,0,0,a,a,"Feb,May,Aug,Nov"
1115,2013-01-10,5007,1,1,1,1,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
85,2013-01-11,7132,1,1,0,0,1870.0,0,0,b,a,No_Promo2
71,2013-01-11,11501,1,1,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-11,7995,1,1,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-11,2257,1,1,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-11,5556,1,1,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-11,12230,1,1,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-11,4608,1,1,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-11,7062,1,1,0,0,16160.0,0,0,d,c,No_Promo2
1115,2013-01-11,5142,1,1,1,1,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
1086,2013-01-11,10174,1,1,1,1,180.0,0,0,a,a,"Feb,May,Aug,Nov"
85,2013-01-12,5198,1,0,0,0,1870.0,0,0,b,a,No_Promo2
71,2013-01-12,7841,1,0,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-12,6418,1,0,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-12,1383,1,0,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-12,4402,1,0,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-12,7309,1,0,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-12,4395,1,0,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-12,6127,1,0,0,0,16160.0,0,0,d,c,No_Promo2
1115,2013-01-12,4497,1,0,1,0,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
1086,2013-01-12,5749,1,0,1,0,180.0,0,0,a,a,"Feb,May,Aug,Nov"
85,2013-01-13,10584,1,0,0,0,1870.0,0,0,b,a,No_Promo2
71,2013-01-13,0,0,0,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-13,0,0,0,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-13,0,0,0,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-13,0,0,0,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-13,0,0,0,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-13,0,0,0,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-13,0,0,0,0,0,16160.0,0,0,d,c,No_Promo2
1115,2013-01-13,0,0,0,1,0,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
1086,2013-01-13,0,0,0,1,0,180.0,0,0,a,a,"Feb,May,Aug,Nov"
85,2013-01-14,5616,1,0,0,0,1870.0,0,0,b,a,No_Promo2
71,2013-01-14,5386,1,0,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-14,5323,1,0,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-14,2236,1,0,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-14,4685,1,0,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-14,9056,1,0,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-14,3070,1,0,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-14,4753,1,0,0,0,16160.0,0,0,d,c,No_Promo2
1115,2013-01-14,3158,1,0,1,0,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
1086,2013-01-14,7444,1,0,1,0,180.0,0,0,a,a,"Feb,May,Aug,Nov"
85,2013-01-15,5580,1,0,0,0,1870.0,0,0,b,a,No_Promo2
71,2013-01-15,5424,1,0,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-15,4418,1,0,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-15,2076,1,0,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-15,4470,1,0,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-15,9056,1,0,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-15,2313,1,0,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-15,5075,1,0,0,0,16160.0,0,0,d,c,No_Promo2
1115,2013-01-15,3528,1,0,1,0,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
1086,2013-01-15,7076,1,0,1,0,180.0,0,0,a,a,"Feb,May,Aug,Nov"
85,2013-01-16,5025,1,0,0,0,1870.0,0,0,b,a,No_Promo2
71,2013-01-16,5825,1,0,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-16,4752,1,0,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-16,1708,1,0,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-16,4640,1,0,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-16,8581,1,0,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-16,2249,1,0,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-16,2580,1,0,0,0,16160.0,0,0,d,c,No_Promo2
1115,2013-01-16,3064,1,0,1,0,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
1086,2013-01-16,6176,1,0,1,0,180.0,0,0,a,a,"Feb,May,Aug,Nov"
71,2013-01-17,7260,1,0,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
85,2013-01-17,4973,1,0,0,0,1870.0,0,0,b,a,No_Promo2
102,2013-01-17,5207,1,0,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-17,1556,1,0,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-17,4460,1,0,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-17,8517,1,0,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-17,2711,1,0,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-17,4049,1,0,0,0,16160.0,0,0,d,c,No_Promo2
1115,2013-01-17,3039,1,0,1,0,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
1086,2013-01-17,6282,1,0,1,0,180.0,0,0,a,a,"Feb,May,Aug,Nov"
85,2013-01-18,5579,1,0,0,0,1870.0,0,0,b,a,No_Promo2
71,2013-01-18,7048,1,0,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-18,5084,1,0,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-18,1919,1,0,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-18,4962,1,0,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-18,9150,1,0,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-18,3706,1,0,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-18,5555,1,0,0,0,16160.0,0,0,d,c,No_Promo2
1086,2013-01-18,7168,1,0,1,0,180.0,0,0,a,a,"Feb,May,Aug,Nov"
1115,2013-01-18,4287,1,0,1,0,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
85,2013-01-19,5440,1,0,0,0,1870.0,0,0,b,a,No_Promo2
71,2013-01-19,6755,1,0,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-19,6221,1,0,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-19,1333,1,0,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-19,4441,1,0,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-19,7416,1,0,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-19,4037,1,0,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-19,6873,1,0,0,0,16160.0,0,0,d,c,No_Promo2
1115,2013-01-19,5207,1,0,1,0,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
1086,2013-01-19,6023,1,0,1,0,180.0,0,0,a,a,"Feb,May,Aug,Nov"
102,2013-01-20,0,0,0,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
85,2013-01-20,11390,1,0,0,0,1870.0,0,0,b,a,No_Promo2
71,2013-01-20,0,0,0,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-20,0,0,0,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-20,0,0,0,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-20,0,0,0,0,0,420.0,0,0,d,c,No_Promo2
49,2013-01-20,0,0,0,0,0,16160.0,0,0,d,c,No_Promo2
50,2013-01-20,0,0,0,0,0,6260.0,0,0,d,a,No_Promo2
1086,2013-01-20,0,0,0,1,0,180.0,0,0,a,a,"Feb,May,Aug,Nov"
1115,2013-01-20,0,0,0,1,0,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
71,2013-01-21,7739,1,1,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
85,2013-01-21,8065,1,1,0,0,1870.0,0,0,b,a,No_Promo2
102,2013-01-21,9711,1,1,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-21,2328,1,1,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-21,6178,1,1,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-21,15404,1,1,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-21,3653,1,1,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-21,8862,1,1,0,0,16160.0,0,0,d,c,No_Promo2
1086,2013-01-21,9087,1,1,1,0,180.0,0,0,a,a,"Feb,May,Aug,Nov"
1115,2013-01-21,3723,1,1,1,0,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
85,2013-01-22,6767,1,1,0,0,1870.0,0,0,b,a,No_Promo2
71,2013-01-22,9681,1,1,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-22,9642,1,1,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-22,2191,1,1,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-22,5215,1,1,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-22,13106,1,1,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-22,4127,1,1,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-22,7243,1,1,0,0,16160.0,0,0,d,c,No_Promo2
1086,2013-01-22,12292,1,1,1,0,180.0,0,0,a,a,"Feb,May,Aug,Nov"
1115,2013-01-22,5388,1,1,1,0,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
71,2013-01-23,10047,1,1,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
85,2013-01-23,7495,1,1,0,0,1870.0,0,0,b,a,No_Promo2
102,2013-01-23,7979,1,1,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-23,2238,1,1,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-23,5218,1,1,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-23,11396,1,1,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-23,4764,1,1,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-23,6649,1,1,0,0,16160.0,0,0,d,c,No_Promo2
1115,2013-01-23,5176,1,1,1,0,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
1086,2013-01-23,11235,1,1,1,0,180.0,0,0,a,a,"Feb,May,Aug,Nov"
85,2013-01-24,6768,1,1,0,0,1870.0,0,0,b,a,No_Promo2
71,2013-01-24,8896,1,1,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-24,7924,1,1,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-24,2206,1,1,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-24,4736,1,1,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-24,11434,1,1,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-24,4946,1,1,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-24,6415,1,1,0,0,16160.0,0,0,d,c,No_Promo2
1086,2013-01-24,11257,1,1,1,0,180.0,0,0,a,a,"Feb,May,Aug,Nov"
1115,2013-01-24,5650,1,1,1,0,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
85,2013-01-25,6672,1,1,0,0,1870.0,0,0,b,a,No_Promo2
71,2013-01-25,10488,1,1,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-25,7653,1,1,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-25,2114,1,1,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-25,5404,1,1,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-25,11444,1,1,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-25,4652,1,1,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-25,6886,1,1,0,0,16160.0,0,0,d,c,No_Promo2
1086,2013-01-25,10967,1,1,1,0,180.0,0,0,a,a,"Feb,May,Aug,Nov"
1115,2013-01-25,5082,1,1,1,0,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
85,2013-01-26,6010,1,0,0,0,1870.0,0,0,b,a,No_Promo2
71,2013-01-26,6441,1,0,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-26,6477,1,0,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-26,1200,1,0,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-26,4789,1,0,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-26,7329,1,0,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-26,3640,1,0,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-26,6013,1,0,0,0,16160.0,0,0,d,c,No_Promo2
1115,2013-01-26,4896,1,0,1,0,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
1086,2013-01-26,5914,1,0,1,0,180.0,0,0,a,a,"Feb,May,Aug,Nov"
85,2013-01-27,7522,1,0,0,0,1870.0,0,0,b,a,No_Promo2
71,2013-01-27,0,0,0,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-27,0,0,0,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-27,0,0,0,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-27,0,0,0,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-27,0,0,0,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-27,0,0,0,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-27,0,0,0,0,0,16160.0,0,0,d,c,No_Promo2
1115,2013-01-27,0,0,0,1,0,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
1086,2013-01-27,0,0,0,1,0,180.0,0,0,a,a,"Feb,May,Aug,Nov"
85,2013-01-28,5284,1,0,0,0,1870.0,0,0,b,a,No_Promo2
71,2013-01-28,7354,1,0,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-28,5265,1,0,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-28,2149,1,0,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-28,4489,1,0,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-28,8867,1,0,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-28,2880,1,0,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-28,4382,1,0,0,0,16160.0,0,0,d,c,No_Promo2
1115,2013-01-28,3615,1,0,1,0,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
1086,2013-01-28,6478,1,0,1,0,180.0,0,0,a,a,"Feb,May,Aug,Nov"
85,2013-01-29,5100,1,0,0,0,1870.0,0,0,b,a,No_Promo2
71,2013-01-29,6562,1,0,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-29,5117,1,0,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-29,2042,1,0,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-29,4374,1,0,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-29,8465,1,0,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-29,2457,1,0,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-29,4320,1,0,0,0,16160.0,0,0,d,c,No_Promo2
1115,2013-01-29,3397,1,0,1,0,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
1086,2013-01-29,7943,1,0,1,0,180.0,0,0,a,a,"Feb,May,Aug,Nov"
85,2013-01-30,5050,1,0,0,0,1870.0,0,0,b,a,No_Promo2
71,2013-01-30,6586,1,0,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
102,2013-01-30,5999,1,0,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-30,1951,1,0,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-30,3986,1,0,0,0,3160.0,0,0,a,a,No_Promo2
57,2013-01-30,8555,1,0,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-30,3053,1,0,0,0,6260.0,0,0,d,a,No_Promo2
49,2013-01-30,4631,1,0,0,0,16160.0,0,0,d,c,No_Promo2
1115,2013-01-30,3813,1,0,1,0,5350.0,0,0,d,c,"Mar,Jun,Sept,Dec"
1086,2013-01-30,8128,1,0,1,0,180.0,0,0,a,a,"Feb,May,Aug,Nov"
71,2013-01-31,7404,1,0,1,0,16160.0,0,0,a,a,"Mar,Jun,Sept,Dec"
85,2013-01-31,6358,1,0,0,0,1870.0,0,0,b,a,No_Promo2
102,2013-01-31,9101,1,0,1,0,150.0,0,0,a,a,"Mar,Jun,Sept,Dec"
105,2013-01-31,2041,1,0,1,0,6190.0,0,0,a,c,"Mar,Jun,Sept,Dec"
10,2013-01-31,4867,1,0,0,1,3160.0,0,0,a,a,No_Promo2
57,2013-01-31,11100,1,0,0,0,420.0,0,0,d,c,No_Promo2
50,2013-01-31,3713,1,0,0,0,6260.0,0,0,d,a,No_Promo2
